category,proverb
СЕЛЬСКАЯ ГАСПАДАРКА,Узышло сонейка — уставай жнейка.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"I сабака памятае, хто яго помніуь."
ХАРЧАВАННЕ,"Каменні — хоць забіся, вады — хоць утапіся, дроў — хоць спаліся, хлеба дакупіўшы, можна жыць."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Які конь цягне, на таго i кладуць."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзякуй таму, хто хлебам корміць, а больш таму, хто хлебсоль помніць."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Мельнікава карова i дзеўка папова i аканома кабыла нігды галодна не была.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Грошы не цыбуля, што на шастку вісіць."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Як у лесе гукнеш, так адазвецца."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,У піліпаўку дзень да палудня.
СЕЛЬСКАЯ ГАСПАДАРКА,"Жнуць парой, а жуюць зімой."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Сьітага сабаку не падкупіш.
ХАРЧАВАННЕ,"Куплены хлеб да пагляду, а не да паеду."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Валі на чорнага — ён усе звязе.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Будзем у гасцях, то ў вас, то ў цябе."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Ці будзеш багат, пузат будзеш."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грош піць-есць не просіць.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Граза ў лес не йдзець.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"На святога Сцяпан кажан парабак сабе пан. 
а) На святы Сцяпан усякі сабе пан. 
б) Дзісяй Шчыпан, то ўжэ парабак — пан."
СЕЛЬСКАЯ ГАСПАДАРКА,"На пастаці нечага стаяці. 
а) На пастаці калі не стаяці."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Старога сабаку не бацькам зваць.
ХАРЧАВАННЕ,Выскачыў на вулку ды i хап за булку.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Як сытыя коні, дык малыя вазы кладуць, а як худыя коні, дык вялікія вазы кладуць."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Гасцінца назад не бяруць.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Беднаму ад асату дае бог красату, а багатаму i ад хлеба — сухату."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Усіх дзенег на свеце не забярэш.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Высокае дрэва здалёку відаць.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,На святога Сцяпана парабак лепшы за пана.
СЕЛЬСКАЯ ГАСПАДАРКА,"Паджынайся, нябожа, — заставацца нягожа."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,У трох большы брох.
ХАРЧАВАННЕ,"Хто хлеба купіць, таму болей рупіць."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Панскай работы не пераробіш (перадзелаеш).
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не кармі хлебам — не будзеш мець ворага. 
а) Не паіўшы, не карміўшы, не будзеш ворага імець. 
б) Не кармі, не пой, то не будзеш маць ворага."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Раскоша бокам не выпірае.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не ганіся за даўгім рублём, а то i кароткі загубіш."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Увесь лес роўны, адзін гук доўгі."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,На святога Сцяпана найду другога пана.
СЕЛЬСКАЯ ГАСПАДАРКА,"Добры жнец не бядуе, што шырокі заганец."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Дварнэя сабакі сышлісь: адзін рыжы, другей чорны."
ХАРЧАВАННЕ,"Быў конь, ды з'езджаны, быў хлеб, ды з'едзены."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Панам сеюць, жнуць i косяць, а сабе хлеба просяць,"
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Чужымі пірагамі добра гасцей частаваць.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У багатай хаце i куры часцей нясуцца.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Сваім грошам нікому не наб'ешся.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Зімой i летам адным цветам.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Каляды, то ён цяпер пан."
СЕЛЬСКАЯ ГАСПАДАРКА,"Наперадзе піва п'юць, а пазадзе кіем б'юць."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Забіў сабаку — брашы сам.
ХАРЧАВАННЕ,"Рукі на мазалях, a ў торбе засохлы акрайчык."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Усё ну да ну, а тпрукнуць некаму."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Госць рэдка бываець, да многа відзіць. 
а) Госць мала гасцюе, а многа бачыць. 
б) Госць не многа гасцюець, да многа відзіць. 
в) Госць не многа бываець, да многа відаець. 
г) Госць рэдка бываець, да шмат відаець."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У яго i козы ходзяць у золаце.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Свой сваім, a дзенюжкі не радня."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Калі на папушкі холад, то на цвет дрыжацьме стары i молад."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Чалядзі па калядзі.
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто ў жніво халадку шукае, той галадае."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сабакі пабрэшуць, ды i назад пойдуць."
ХАРЧАВАННЕ,"Ямо хлеб траякі: чорны, белы i ніякі."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Янук i засеяў i зжаў, а панок сажраў."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Госць не многа есць, але многа бачыць."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Багатага i бог любіць.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Смяецца з гатовага, трох грошай не прылажыўшы."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Калі на дзераве, як траяк, то альбо сей, альбо няхай будзе так."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Ужо тыдзень да каляд — пан з сваей чэлядзі не рад. 
а) Прыждалі святых каляд, пан з сваей чэлядзі не рад."
СЕЛЬСКАЯ ГАСПАДАРКА,"Сама сябе жнейка б'ець, калі нячыста жнець. 
а) Сама сябе раба б'ець, калі нячыста жнець."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Малое шчаня, да галасно."
ХАРЧАВАННЕ,"Ёсць хлеб — ядзімо, а няма — глядзімо. \ Ёсць кавалак хлеба, то хвала богу."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Мужык у полі надрываецца, a v пана пуза ўздымаецца.."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Кошка мыецца — гасцей кажыць.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,З вялікага не выпадзе.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Схавай свае тры грошы.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Калі бяроза перад вольхай ліст распусціць, то лета будзе сухое; калі вольха наперад — мокрае."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Па калядах уночы трашчыць, a ўдзень плюшчыць."
СЕЛЬСКАЯ ГАСПАДАРКА,Закончыш жніво ў пору — будзе што вазіць у камору.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Па шэрсці сабацы i мянушку даюць. 
а) Па шэрсці сабачку i клічка дана."
ХАРЧАВАННЕ,"Хоць гара не родзіць, але з хлеба не зводзіць. 
а) Хлеб гара не родзіць, але з хлеба не зводзіць."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не тэй піва п'ець, хто варыць. 
a) He адны тыя п'юць піва, што вараць."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Кот мурлыча — гасцей кліча.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Які б гэта крук, штоб выпусціў з рук."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Хавай на чорную гадзіну. 
а) Харані палцінку пра злую гадзінку (часінку). 
б) Блюдзі палцінку пра злую гадзінку. 
в) Сцеражы палцінку на чорну гадзінку. 
г) Хавай грош на чорны дзень. 
д) Хавай асьмачок на ліхі дзянёк."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Калі ўрадзіла ляшчына, то ўродзіць i ярына."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Сабачкі брэшуць, калядкі будуць; мароз стучыць, вароты адчыняць вяліць."
СЕЛЬСКАЯ ГАСПАДАРКА,"Змялі поле мяцёлкамі, ідзём дамоў вясёлкамі."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,З паршывага сабакі хоць шэрсці клок.
ХАРЧАВАННЕ,Хлеб не запараха — няхай будзе.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Няхай той тужыць, хто панам служыць."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,У гаршку вада калышацца — госці будуць.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,К раскошы хутка прывыкаць.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Хлеб дзяржы, а грошы беражы. 
а) Хавай хлеб для яды, а грошы для бяды."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Вярба таўстая, ды ў сярэдзіне пустая."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Калі польскія каляды трашчаць, дык нашы плюшчаць, калі ж польскія плюшчаць, то нашы трашчаць."
СЕЛЬСКАЯ ГАСПАДАРКА,"Ніўка, ніўка, аддай маю сілку."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не кажна курыца чубата, не кажан сабака касматы."
ХАРЧАВАННЕ,Брухам хлеба не вынасіш.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Двум панам служыць не можна. 
а) Двум панам не служы."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,З рук што падае — госць спяшыць.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"З бяды да роскашы то хутка прывыкаеш, але з роскашы да бяды — то не."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Загані грошы загадзя, потым як знойдзеш. 
а) Трэба з замаладу загнаць капейку, то на старасць як знойдзеш."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Без пары i грыб не расце.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Наўрад, штоб стала хлеба да каляд."
СЕЛЬСКАЯ ГАСПАДАРКА,"Да гудзець поле, гудзець — талака з поля ідзець."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не перакруціўшыся, сабака не ляжа."
ХАРЧАВАННЕ,"Ашчандзаўся, ашчандзаўся: хлеб з'еў, а квас астаўся."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Адзін двом панам не ўгодзіць.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Нос свярбіць — гасціны чуе.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Роскаш i плача i скача.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Малады назбірай, а стары пражывай."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Грыбок на бок — баравік едзе.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Ад каляд не ідзець у лад.
СЕЛЬСКАЯ ГАСПАДАРКА,Недаспеўшы колас не жнуць.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сабака не з'есць, не пакачаўшы."
ХАРЧАВАННЕ,"Квас з'еу, а хлеб астаўся."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Чорт душу вымае, а пан шкуру здымае. 
а) Чорт душу выме, а пан шкуру здыме."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Будзь здароў, будзь здароў — да i з лаўкі далоў."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"У багача багата багацця, да шчасця няма."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Цяжка злажыць гатоўку, да добра спажываць."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Баравік усім грыбам палкавік.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Як прыдуць каляды — мужыкі мякіне рады, а як прыдуць зажынкі — няма хлеба ні асьмінкі."
СЕЛЬСКАЯ ГАСПАДАРКА,"Калі не нажнём, то назбіраем."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Нёкалі сабацы бліны пекць, ён усягды цестам есць."
ХАРЧАВАННЕ,"Цеста i без касцей, а расце."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Пан скуру здзірае, а поп душу вымае."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Госць па абедзе дамоў едзе.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У раскошы век кароткі.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Загані грош, да будуць рублі."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Дзе мухаморы, там i баравікі."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Прышлі калядкі — бліны ды аладкі. 
a) Калядкі — добрыя святкі: бліны ды аладкі."
СЕЛЬСКАЯ ГАСПАДАРКА,"Не той хлеб, што на полі, а той, што ў гумне."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Заткні сабацы хлебам рот.
ХАРЧАВАННЕ,"Дзяжа, дзяжа, не бачыла ні хвашчанкі, ні нажа."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Пан рукой матне, а мужыку скуру трахне."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Калі госць, так гасці, а двара не касці: пастаўлю на парог, пакажу сем дарог."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Багатага i хваслівага не разбярэш.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Усякая капейка алтынным гваздзём прыбіта.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Сядзі, грыбе, пакуль цябе хто надыбе."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Калядкі — добрыя святкі: пад'еў ды на палаткі. 
a) Калядкі — добрыя святкі: наеўся, напіўся да й на па­ латке"
СЕЛЬСКАЯ ГАСПАДАРКА,Жыта i пшаніца — то богава пашніца.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Добра сабацы й мука.
ХАРЧАВАННЕ,"Падхадзі, мая дзежачка! Госць на парозе, хазяін у дарозе, а хазяйка есць хочаць."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Пан ix паяднаў: аднаму i другому ў шкуру даў.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Спасіба гэтаму дому, пойдзем к другому."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Тагды прышоў стыд, як стаў сыт. 
а) Gray сыт, дак i ўзяў стыд. 
б) Стаў сыт, пазнаў стыд."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,У час асьмак даражэй рубля.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Дзе дубы, там грыбы."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Калядкі — добрыя святкі, але мароз пракляты."
СЕЛЬСКАЯ ГАСПАДАРКА,"Асот, крапіва — то чортава ярына, а жыта i пшаніца — то богава пашніца."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сабака, калі звыкнець па вокнах лазіць, пакуль здохнець, не перастанець."
ХАРЧАВАННЕ,Без хлеба няма абеда.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",I грошы бярэ i шкуру дзярэ.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Спасіба. — Спасіба богу i мне, а хазяйцы не?"
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Чалавек багаты, а найбольш ветру слухае."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Рыхтуй грошы ціха, не будзе ліха."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Харош урадзіўся, ды не прыгадзіўся."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Каляды — крысціяне рады.
СЕЛЬСКАЯ ГАСПАДАРКА,"Збожжа (жыта), хоць пакаціся па верее."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Унадзіўся сабака за возам хадзіць, дык i за саньмі пабяжыць."
ХАРЧАВАННЕ,Без хлеба паўабеда.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Галасі не галасі, а панава аддасі."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"За сваю сілу, што ў рот насіла."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хоць гарбаты, ды багаты."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Сцеражы бацькаву капейку, то i свае здабудзеш."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Арэх любіць крэпкія зубы.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Святое раство — людзям прыгаство.
СЕЛЬСКАЯ ГАСПАДАРКА,Дарагі тавар на зямлі расце.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сабака наравіць, пакуль хвост баліць."
ХАРЧАВАННЕ,З сваім хлебам i паабедаеш.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не ўзяўшы на душу, не хадзіць у кунтушу."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзякуй за хлеб, за бліны, каб у вас болі людзі не былі."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Толькі ў міліянера дастатак купіць яец дзесятак.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Схавай капейку на зязюльку. 
а) Схавай тры грошы на зязюльку.
б) Схавай траячок хоць на зязюлю.
в) Схавай траячок, няхай будзе на зязюлю. 
г) Хавай зратульку (гратульку) на зязюльку. 
д) Схавай тры грошы ў руку на куку."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Ягад без кветак не бывае.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"На каляды — кілбаса, на вялікадня — сыр, а ўсё чалавегс сыт."
СЕЛЬСКАЯ ГАСПАДАРКА,"Адно зярнятка пуд прыносіць.
а) Зерне пуды прыносіць. 
б) Адно зерне пуды прыносіць."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Не вер сабацы ніколі.
ХАРЧАВАННЕ,"Слова да слова, а хлеб да абеда."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Цар — указом, а пан — бізуном."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Спасіба за клёцкі, поліўка ў зубы навязла."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,I ў багача ў хаце нячыстае трапляецца.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Мізернаму i капейка дарага.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Ягадка да ягадкі — i поўны збан.
