category,proverb,number,book_page
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Адзін двом панам не ўгодзіць,380,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзякуй таму, хто хлебам корміць, а больш таму, хто хлебсоль помніць",1458,402
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У раскошы век кароткі,1776,425
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Загані грошы загадзя, потым як знойдзеш
а) Трэба з замаладу загнаць капейку, то на старасць як  знойдзеш",2392,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Калі ўрадзіла ляшчына, то ўродзіць i ярына",274,70
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калі польскія каляды трашчаць, дык нашы плюшчаць, калі  ж польскія плюшчаць, то нашы трашчаць",563,93
СЕЛЬСКАЯ ГАСПАДАРКА,Недаспеўшы колас  не жнуць,1108,135
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,а) Па шэрсці сабачку i клічка дана,274,206
ХАРЧАВАННЕ,"Квас з'еу, а хлеб астаўся",708,237
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Чорт душу вымае, а пан шкуру здымае
а) Чорт душу выме, а пан шкуру здыме",381,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Будзем у гасцях, то ў вас, то ў цябе",1459,402
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Багатага i хваслівага не разбярэш,1777,425
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Малады назбірай, а стары пражывай",2393,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Вярба таўстая, ды ў сярэдзіне пустая",275,70
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Наўрад, штоб стала хлеба да каляд",564,93
СЕЛЬСКАЯ ГАСПАДАРКА,"Калі не нажнём, то назбіраем",1109,135
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,3 паршывага сабакі хоць шэрсці клок,275,206
ХАРЧАВАННЕ,"Цеста i без касцей, а расце",709,237
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Пан скуру здзірае, а поп душу  вымае",382,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Гасцінца назад не бяруць,1460,402
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Тагды прышоў стыд, як стаў сыт
а) Gray сыт, дак i ўзяў стыд",1778,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Цяжка злажыць гатоўку, да добра спажываць",2394,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Без пары i грыб не расце,276,70
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Ад каляд не ідзець у лад,565,93
СЕЛЬСКАЯ ГАСПАДАРКА,"Не той хлеб, што на полі, а той, што ў гумне",1110,135
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не кажна курыца чубата, не кажан сабака касматы",276,206
ХАРЧАВАННЕ,"Дзяжа, дзяжа, не бачыла ні хвашчанкі, ні нажа",710,237
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Пан ix паяднаў: аднаму i другому ў шкуру даў,384,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не кармі хлебам — не будзеш  мець  ворага
а) Не паіўшы, не карміўшы, не будзеш  ворага  імець",1461,402
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Чалавек багаты, а найбольш  ветру слухае",1779,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Загані грош, да будуць рублі",2395,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Грыбок на бок — баравік едзе,277,70
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Як прыдуць каляды — мужыкі мякіне рады, а як прыдуць  зажынкі — няма хлеба ні асьмінкі",566,93
СЕЛЬСКАЯ ГАСПАДАРКА,Жыта i пшаніца — то богава пашніца,1111,135
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не перакруціўшыся, сабака не ляжа",277,206
ХАРЧАВАННЕ,"Падхадзі, мая дзежачка! Госць на парозе, хазяін у дарозе,  а хазяйка есць хочаць",711,237
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",I грошы бярэ i шкуру дзярэ,385,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"б) Не кармі, не пой, то не будзеш маць ворага",1461,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хоць гарбаты, ды багаты",1780,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Усякая капейка алтынным гваздзём прыбіта,2396,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Баравік усім грыбам палкавік,278,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Прышлі калядкі — бліны ды аладкі
a) Калядкі — добрыя святкі: бліны ды аладкі",567,94
СЕЛЬСКАЯ ГАСПАДАРКА,"Асот, крапіва — то чортава ярына, а жыта i пшаніца — то  богава пашніца",1112,135
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сабака не з'есць, не пакачаўшы",278,206
ХАРЧАВАННЕ,Без хлеба няма абеда,712,237
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Галасі не галасі, а панава  аддасі",386,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Чужымі пірагамі добра  гасцей  частаваць,1462,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Толькі ў міліянера дастатак купіць яец дзесятак,1781,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,У час асьмак даражэй рубля,2397,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Дзе мухаморы, там i баравікі",279,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калядкі — добрыя святкі: пад'еў ды на палаткі
a) Калядкі — добрыя святкі: наеўся, напіўся да й на па­ латке Fed",568,94
СЕЛЬСКАЯ ГАСПАДАРКА,"Збожжа (жыта), хоць пакаціся па верее",1113,135
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Нёкалі сабацы бліны пекць, ён усягды цестам есць",279,206
ХАРЧАВАННЕ,Без хлеба паўабеда,713,237
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не  ўзяўшы на душу, не хадзіць у кунтушу",387,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Госць рэдка бываець, да многа відзіць
а) Госць мала гасцюе, а многа бачыць",1463,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,I ў багача ў хаце нячыстае трапляецца,1782,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Рыхтуй грошы ціха, не будзе ліха",2398,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Сядзі, грыбе, пакуль цябе хто надыбе",280,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калядкі — добрыя святкі, але мароз пракляты",569,94
СЕЛЬСКАЯ ГАСПАДАРКА,Дарагі тавар на зямлі расце,1114,135
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Заткні сабацы хлебам рот,280,206
ХАРЧАВАННЕ,3 сваім хлебам i паабедаеш,714,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Цар — указом, а пан — бізуном",388,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Госць не многа есць, але многа бачыць",1464,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хто хоча быць борза багатым, скора страціць на тым",1783,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Сцеражы бацькаву капейку, то i свае здабудзеш",2399,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Дзе дубы, там грыбы",281,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Каляды — крысціяне рады,570,94
СЕЛЬСКАЯ ГАСПАДАРКА,"Адно зярнятка пуд прыносіць
а) Зерне пуды прыносіць",1115,135
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Добра сабацы й мука,281,206
ХАРЧАВАННЕ,"Слова да слова, а хлеб да абеда",715,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Поп грабіць слаўцом, а пан бізуном",389,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Кошка мыецца — гасцей кажыць,1465,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хутка забагацеў, хутка згалеў",1784,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Схавай капейку на зязюльку
а) Схавай тры грошы на зязюльку",2400,481
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Харош урадзіўся, ды не прыгадзіўся",282,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Святое раство — людзям прыгаство,571,94
СЕЛЬСКАЯ ГАСПАДАРКА,"Зерне да зерня — меру набярэш
а) Зерне да зерня, будзе поўная мерня",1116,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сабака, калі звыкнець па вокнах лазіць, пакуль здохнець,  не перастанець",282,206
ХАРЧАВАННЕ,"Латвей абысціся без мяса, як без хлеба",716,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не славу пяюць, а мужыка дзяруць",390,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Кот мурлыча — гасцей кліча,1466,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Не заракайся цёнгле багатым быць, бо чы не прыдзецца  пад старасць торбу насіць",1785,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"б) Схавай траячок хоць на зязюлю
в) Схавай траячок, няхай будзе на зязюлю",31,482
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Арэх любіць крэпкія зубы,283,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"На каляды — кілбаса, на вялікадня — сыр, а ўсё чалавегс  сыт",572,94
СЕЛЬСКАЯ ГАСПАДАРКА,Колас да коласа — сноп збярэцца,1117,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Унадзіўся сабака за возам хадзіць, дык i за саньмі пабяжыць",283,206
ХАРЧАВАННЕ,Без кавалка хлеба — кепская бяседа,717,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Добра мужык робіць, калі па спіне бізун ходзіць",391,316
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,У гаршку вада калышацца — госці будуць,1467,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Адзін з сошкаю, а сямёра з ложкаю",1786,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Мізернаму i капейка дарага,2401,482
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Ягад без кветак не бывае,284,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Пакінь свае «дам» к калядам,573,94
СЕЛЬСКАЯ ГАСПАДАРКА,"Снапочак к снапочку, дык цэлая копка",1118,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сабака наравіць, пакуль хвост баліць",284,206
ХАРЧАВАННЕ,"Як не стала хлеба, дык i нож не трэба",718,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не спяшы, мужык, к пану, калі не хочаш быць драны",392,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,3 рук што падае — госць спяшыць,1468,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хто пацеець, а хто сыцеець",1787,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Дарагая залатовачка: кала рубля ляжала,2402,482
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Ягадка да ягадкі — i поўны збан,285,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Стань у раду, дастанеш каляду",574,94
СЕЛЬСКАЯ ГАСПАДАРКА,Каласок да каласка — i снапоў сцірта,1119,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Не вер сабацы ніколі,285,206
ХАРЧАВАННЕ,"Наеўся? — Дай кусок хлеба, дык скажу",719,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Дзе толькі мужык з слаўцом,  там за ім пуга з вузлом",393,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Нос свярбіць — гасціны чуе,1469,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хто будуе, хто жыве",1788,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Рубель з гроша паходзіць
а) Рубель без капейкі не бывае",2403,482
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Дзе ягаднік, там i ягады",286,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Прападай ты, пане, з калядою, аддай мой мех",575,94
СЕЛЬСКАЯ ГАСПАДАРКА,Мыш капы не баіцца,1120,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не кладзі сабаку пальца ў рот, бо адкусіць",286,206
ХАРЧАВАННЕ,"Пірагі пра пярод берагі, а хлеб еш",720,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Мужык гол-гоп, а яго хлоп-хлоп",394,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Будзь здароў, будзь здароў — да i з лаўкі далоў",1470,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Багатаму лічыць, а беднаму рабіць",1789,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грош грошу таварыш,2404,482
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",3 голага куста i ягада пуста,287,71
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калядкі — гаспадарскія парадкі
a) Насталі калядкі, гаспадарам парадкі",576,94
СЕЛЬСКАЯ ГАСПАДАРКА,"Зрадзіла жыта, хоць барану прыстаў",1121,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Хто хоча сабаку ўдарыць, то кій найдзе",287,206
ХАРЧАВАННЕ,"Еш пірагі, а хлеб упярод хавай",721,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не рад мужык, што б'юць яго, а то яшчэ нагамі перабірае
а) Не рад мужык, што яго б'юць, — яшчэ й нагамі дрыгае",395,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Госць па абедзе дамоў едзе,1471,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Багаты беднаму не спагадае
а) Грашоўны беднаму не спагадае",1790,426
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грош гроша шукае,2405,482
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калі калядкі, рабі сам i парадкі",577,94
СЕЛЬСКАЯ ГАСПАДАРКА,Руні ў аруд не мераюць,1122,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"а) Як хочаш сабаку ўдарыць, то i кія знойдзеш",287,207
ХАРЧАВАННЕ,"Пірага шукаеш, а хлеба не цурайся",722,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Б'юць i плакаць не вяляць (даюць)
а) I дзяруць i б'юць i плакаць не даюць",396,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Калі госць, так гасці, а двара не касці: пастаўлю на парог,  пакажу сем дарог",1472,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"/, 309; Крапіва, 342; Piełk",1790,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,I дзве капейкі грошы,2406,482
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Ад каляд тры разы пяць, пастушкі ў поле ляцяць
а) Выхавай после каляд тры пяць, то людзі ў поле ляцяць",578,94
СЕЛЬСКАЯ ГАСПАДАРКА,"Якое то жніво, калі колас коласа паганяе",1123,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Сабака сабаку i па лапках пазнае,288,207
ХАРЧАВАННЕ,"Абы хлеб быў, нахлебнікі будуць",723,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Як у Грыцках не абдзяруць, у Грыневічах не абкрадуць,  a ў Грыцэвічах не заб'юць,  то нідзе чэрці не вазьмуць",397,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Спасіба гэтаму дому, пойдзем к другому",1473,403
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Сыт голаду не разумеець
а) Сыты галоднага не знаець",1791,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Капейка рубель беражэ,2407,482
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,На Новы год хавай скот,579,95
СЕЛЬСКАЯ ГАСПАДАРКА,Пад рок збожжа родзіць,1124,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Сабака сабаку (сабацы) брат,289,207
ХАРЧАВАННЕ,"Калі хлебна, так i ўедна",724,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Чалавек не пень, не будуць біці ўвесь дзень",398,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"За сваю сілу, што ў рот насіла",1475,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Здаровы хвораму не верыць, а багаты — беднаму",1792,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Жыта любіць шчорк, а грошы — шчот",2408,482
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"На Новы год ясна, будзе ў гумне цясна",580,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Бувала, буяла, а зараз i расці не хоча",1125,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Свае сабакі хоць пакусаюцца, то й паліжуцца",290,207
ХАРЧАВАННЕ,"Калі станеш трэсца, то i хлеб больша есца",725,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","I торба перавернецца, калі дубец завернецца",399,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзякуй за хлеб, за бліны, каб у вас болі людзі не былі",1476,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Сыты галоднаму не раўня
а) Сыты галоднаму не кампаня",1793,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Грошы лік любяць
а) Грошы лічбу любяць",2409,482
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Святое Васілля — людзям красілля,581,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Колас ад коласа не чуе голаса
а) Колас ад коласа, што  не чуваць  чалавечага  голаса",1126,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Свае сабакі грызуцца: няхай,291,207
ХАРЧАВАННЕ,"Калі гумно цячэ, то гаспадар з дому ўцячэ, a калі хлеб  цячэ, то ён аладкі пячэ",726,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","За мае жыта мяне пабіта
а) За наша жыта нам жа пабіта",400,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Спасіба за клёцкі, поліўка ў зубы навязла",1477,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Сытаму гора, а галоднаму ўдвое",1794,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Рубель рубля робіць
а) Грошы грошы робяць",2410,482
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,На Новы рок прыбудзе дня на зайчын скок,582,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Калі не намалоцім, то накалоцім",1127,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Чалавек сівее ад галавы, а сабака ад морды",292,207
ХАРЧАВАННЕ,"Хлеб спорны, калі перапеч поўна печ",727,238
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",г) За мае сіта ды мяне i біта,353,317
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Начлега з сабою не носяць
а) Начлег за сабою ніхто не носіць",1478,404
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Багатыр беднаму не брат,1795,427
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грошы ліпучае дзела,2411,482
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Трэшчы не трэшчы, ужо мінулі вадахрэшчы
а) Трэшчы не трэшчы, прашлі вадахрэшчы — не к ражству, а к Пятру",583,95
СЕЛЬСКАЯ ГАСПАДАРКА,"Не толька не малочана, але i на ток не валочана",1128,136
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сабачая матка ніколі не звядзецца, Сержп",293,207
ХАРЧАВАННЕ,"Хлеб старанамі, а мёд астравамі",728,238
